label;accuracy;performance_min;parametros;hiperparametros;timestamp
Res:647355;97.97;02:45,448;act_fn:Softplus - c:4;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_647355
Res:661083;97.93;02:29,483;act_fn:Softplus - c:5;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_661083
Res:032359;97.83;02:23,113;act_fn:Softplus - c:2;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_032359
Res:543576;97.81;02:32,390;act_fn:ReLU - c:2;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_543576
Res:314861;97.74;02:20,541;act_fn:Sigmoid - c:2;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_314861
Res:825319;97.7;02:43,167;act_fn:Softplus - c:3;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_825319
Res:580287;97.58;02:32,666;act_fn:Sigmoid - c:3;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_580287
Res:994410;97.57;02:41,640;act_fn:ReLU - c:3;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_994410
Res:768066;97.55;02:44,953;act_fn:Sigmoid - c:4;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_768066
Res:814452;97.47;02:41,997;act_fn:ReLU - c:5;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_814452
Res:911315;97.28;02:40,658;act_fn:ReLU - c:4;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_911315
Res:936662;96.96;02:27,315;act_fn:Sigmoid - c:5;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_936662
Res:928833;96.71;02:21,481;act_fn:Tanh - c:2;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_928833
Res:265172;96.17;02:34,358;act_fn:Tanh - c:3;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_265172
Res:470814;95.86;02:41,174;act_fn:Tanh - c:4;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_470814
Res:305177;95.29;02:29,326;act_fn:Tanh - c:5;op_fn:Adam - batch:64 - lr:0.001 - e:10;24-12-20_305177
