label;accuracy;performance_min;parametros;hiperparametros;timestamp
Res:821466;0.993;08:46,787;f_l1:32 - f_l2:128 - drp:0.3 - fi_lay:200;op_fn:Adam - lr:0.001 - e:10;24-12-21_821466
Res:217615;0.9925;06:55,488;f_l1:64 - f_l2:32 - drp:0.3 - fi_lay:200;op_fn:Adam - lr:0.001 - e:10;24-12-20_217615
Res:287218;0.9924;07:25,349;f_l1:64 - f_l2:32 - drp:0.3 - fi_lay:200;op_fn:Adam - lr:0.001 - e:10;24-12-21_287218
Res:416646;0.9916;04:56,266;f_l1:32 - f_l2:32 - drp:0.2 - fi_lay:200;op_fn:Adam - lr:0.001 - e:10;24-12-21_416646
Res:942167;0.9911;04:30,949;f_l1:32 - f_l2:32 - drp:0.3 - fi_lay:100;op_fn:Adam - lr:0.001 - e:10;24-12-21_942167
Res:791490;0.991;03:47,983;f_l1:8 - f_l2:64 - drp:0.4 - fi_lay:100;op_fn:Adam - lr:0.001 - e:10;24-12-21_791490
Res:741269;0.9903;05:11,944;f_l1:8 - f_l2:128 - drp:0.3 - fi_lay:100;op_fn:Adam - lr:0.001 - e:10;24-12-21_741269
Res:228539;0.9891;04:45,052;f_l1:32 - f_l2:32 - drp:0.3 - fi_lay:30;op_fn:Adam - lr:0.001 - e:10;24-12-21_228539
Res:938527;0.9881;03:38,632;f_l1:8 - f_l2:64 - drp:0.4 - fi_lay:30;op_fn:Adam - lr:0.001 - e:10;24-12-21_938527
Res:252549;0.9853;03:03,395;f_l1:8 - f_l2:32 - drp:0.4 - fi_lay:30;op_fn:Adam - lr:0.001 - e:10;24-12-21_252549
