label;accuracy;performance_min;parametros;hiperparametros;timestamp
Res:666109;0.9925;08:48,960;f_l1:34 - f_l2:128 - drp:0.3 - fi_lay:200;op_fn:Adam - lr:0.001 - e:10;24-12-21_666109
Res:627945;0.9898;08:57,921;f_l1:34 - f_l2:128 - drp:0.3 - fi_lay:200;op_fn:RMSprop - lr:0.0001 - e:10;24-12-21_627945
Res:493685;0.9897;09:02,734;f_l1:34 - f_l2:128 - drp:0.3 - fi_lay:200;op_fn:RMSprop - lr:0.0001 - e:10;24-12-21_493685
Res:396976;0.9896;09:24,259;f_l1:34 - f_l2:128 - drp:0.3 - fi_lay:200;op_fn:Adam - lr:0.0001 - e:10;24-12-21_396976
Res:429358;0.9883;09:14,496;f_l1:34 - f_l2:128 - drp:0.3 - fi_lay:200;op_fn:Adam - lr:0.0001 - e:10;24-12-21_429358
Res:147933;0.982;09:10,092;f_l1:34 - f_l2:128 - drp:0.3 - fi_lay:200;op_fn:Adam - lr:0.01 - e:10;24-12-21_147933
Res:971917;0.9816;10:26,860;f_l1:34 - f_l2:128 - drp:0.3 - fi_lay:200;op_fn:SGD - lr:0.01 - e:10;24-12-21_971917
Res:483203;0.1135;09:58,180;f_l1:34 - f_l2:128 - drp:0.3 - fi_lay:200;op_fn:RMSprop - lr:0.1 - e:10;24-12-21_483203
Res:823827;0.1135;10:07,805;f_l1:34 - f_l2:128 - drp:0.3 - fi_lay:200;op_fn:RMSprop - lr:0.1 - e:10;24-12-21_823827
Res:854163;0.1032;08:36,176;f_l1:34 - f_l2:128 - drp:0.3 - fi_lay:200;op_fn:RMSprop - lr:0.1 - e:10;24-12-21_854163
